condition,seed,eta,aulc,final_reward
linear_device,1012,0.0001,0.07,0.05
linear_device,1013,0.0001,0.06,0.06
linear_device,1014,0.0001,0.10333333333333333,0.14
linear_device,1015,0.0001,0.07333333333333333,0.06
linear_device,1016,0.0001,0.08666666666666667,0.1
linear_device,1017,0.0001,0.06,0.05
linear_device,1018,0.0001,0.09666666666666666,0.09
linear_device,1019,0.0001,0.08333333333333333,0.1
linear_device,1000,0.001,0.30666666666666664,0.38
linear_device,1001,0.001,0.2833333333333333,0.3
linear_device,1002,0.001,0.3333333333333333,0.33
linear_device,1003,0.001,0.29333333333333333,0.33
linear_device,1004,0.001,0.29,0.51
linear_device,1005,0.001,0.25666666666666665,0.39
linear_device,1006,0.001,0.24666666666666667,0.4
linear_device,1007,0.001,0.2833333333333333,0.41
linear_device,1008,0.001,0.26,0.43
linear_device,1009,0.001,0.34,0.37
linear_device,1010,0.001,0.30666666666666664,0.38
linear_device,1011,0.001,0.25333333333333335,0.4
linear_device,1012,0.001,0.34,0.39
linear_device,1013,0.001,0.2733333333333333,0.39
linear_device,1014,0.001,0.30333333333333334,0.27
linear_device,1015,0.001,0.25,0.31
linear_device,1016,0.001,0.26666666666666666,0.39
linear_device,1017,0.001,0.23666666666666666,0.32
linear_device,1018,0.001,0.25333333333333335,0.47
linear_device,1019,0.001,0.25,0.4
linear_device,1000,0.01,0.6666666666666666,0.81
linear_device,1001,0.01,0.6466666666666666,0.63
linear_device,1002,0.01,0.6033333333333334,0.68
linear_device,1003,0.01,0.6666666666666666,0.82
linear_device,1004,0.01,0.52,0.67
linear_device,1005,0.01,0.6133333333333333,0.75
linear_device,1006,0.01,0.72,0.87
linear_device,1007,0.01,0.7366666666666667,0.88
linear_device,1008,0.01,0.6433333333333333,0.78
linear_device,1009,0.01,0.7166666666666667,0.82
linear_device,1010,0.01,0.69,0.86
linear_device,1011,0.01,0.6633333333333333,0.88
linear_device,1012,0.01,0.62,0.81
linear_device,1013,0.01,0.6933333333333334,0.82
linear_device,1014,0.01,0.7,0.82
linear_device,1015,0.01,0.67,0.84
linear_device,1016,0.01,0.6233333333333333,0.77
linear_device,1017,0.01,0.6033333333333334,0.76
linear_device,1018,0.01,0.6933333333333334,0.85
linear_device,1019,0.01,0.6266666666666667,0.79
linear_device,1000,0.03,0.96,1.0
linear_device,1001,0.03,0.9333333333333333,1.0
linear_device,1002,0.03,0.9833333333333333,1.0
linear_device,1003,0.03,0.97,1.0
linear_device,1004,0.03,0.95,1.0
linear_device,1005,0.03,0.94,1.0
linear_device,1006,0.03,0.9633333333333334,1.0
